# category	url	filename
# --- existing ---
docker	https://docs.docker.com/llms-full.txt	llms-full.txt
react	https://react.dev/llms.txt	llms.txt
nextjs	https://nextjs.org/llms.txt	llms.txt
anthropic	https://docs.anthropic.com/llms.txt	llms.txt
pydantic	https://docs.pydantic.dev/llms.txt	llms.txt
uv	https://docs.astral.sh/uv/llms.txt	llms.txt
ruff	https://docs.astral.sh/ruff/llms.txt	llms.txt
pytorch	https://pytorch.org/llms.txt	llms.txt
postgres	https://www.postgresql.org/docs/current/tutorial.html	tutorial.txt
postgres	https://www.postgresql.org/docs/current/ddl.html	ddl.txt
postgres	https://www.postgresql.org/docs/current/sql.html	sql.txt
postgres	https://www.postgresql.org/docs/current/indexes.html	indexes.txt
postgres	https://www.postgresql.org/docs/current/performance-tips.html	performance-tips.txt
# --- mobile / languages ---
flutter	https://docs.flutter.dev/llms.txt	llms.txt
dart	https://dart.dev/guides/llms.txt	llms.txt
go	https://go.dev/ref/spec.md	spec.md
go	https://go.dev/doc/effective_go.md	effective_go.md
go	https://go.dev/doc/go1.25.md	go1.25.md
go	https://go.dev/doc/go1.24.md	go1.24.md
go	https://go.dev/doc/tutorial/getting-started.md	getting-started.md
go	https://go.dev/doc/modules/managing-dependencies.md	modules-managing-dependencies.md
go	https://go.dev/doc/modules/gomod-ref.md	gomod-ref.md
go	https://go.dev/doc/go_mem.md	go_mem.md
rust	https://raw.githubusercontent.com/rust-lang/rust-by-example/master/src/SUMMARY.md	rust-by-example-summary.md
rust	https://raw.githubusercontent.com/rust-lang/reference/master/src/introduction.md	reference-intro.md
rust	https://raw.githubusercontent.com/rust-lang/book/main/README.md	book-readme.md
cpp	https://raw.githubusercontent.com/isocpp/CppCoreGuidelines/master/CppCoreGuidelines.md	CppCoreGuidelines.md
# --- realtime / security ---
webrtc	https://raw.githubusercontent.com/webrtc/samples/master/README.md	samples-readme.md
security-protocols	https://datatracker.ietf.org/doc/llms-full.txt	llms-full.txt
security-protocols	https://datatracker.ietf.org/doc/llms.txt	llms-index.txt
# --- post-quantum crypto ---
pqc	https://raw.githubusercontent.com/open-quantum-safe/liboqs/main/README.md	liboqs-readme.md
pqc	https://raw.githubusercontent.com/open-quantum-safe/oqs-provider/main/README.md	oqs-provider-readme.md
pqc	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-208.pdf	NIST.SP.800-208.pdf
pqc	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-57pt1r5.pdf	NIST.SP.800-57pt1r5.pdf
# --- jira / atlassian / bitbucket ---
jira	https://developer.atlassian.com/cloud/jira/platform/rest/v3/intro/index.md	rest-api-v3-intro.md
jira	https://developer.atlassian.com/cloud/jira/software/rest/intro/index.md	jira-software-rest-intro.md
jira	https://developer.atlassian.com/platform/forge/llms.txt	forge-llms.txt
bitbucket	https://developer.atlassian.com/cloud/bitbucket/rest/intro/index.md	rest-api-intro.md
# --- git ---
git	https://raw.githubusercontent.com/git/git/master/Documentation/user-manual.adoc	user-manual.txt
git	https://raw.githubusercontent.com/git/git/master/Documentation/gittutorial.adoc	gittutorial.txt
git	https://raw.githubusercontent.com/git/git/master/Documentation/giteveryday.adoc	giteveryday.txt
git	https://raw.githubusercontent.com/git/git/master/Documentation/git-commit.adoc	git-commit.txt
git	https://raw.githubusercontent.com/git/git/master/Documentation/git-merge.adoc	git-merge.txt
git	https://raw.githubusercontent.com/git/git/master/Documentation/git-branch.adoc	git-branch.txt
git	https://raw.githubusercontent.com/git/git/master/Documentation/git-rebase.adoc	git-rebase.txt
# --- media / streaming ---
gstreamer	https://raw.githubusercontent.com/GStreamer/gstreamer/main/README.md	gstreamer-readme.md
gstreamer	https://raw.githubusercontent.com/GStreamer/gst-docs/master/README.md	gst-docs-readme.md
gstreamer	https://raw.githubusercontent.com/GStreamer/gst-docs/master/markdown/index.md	index.md
gstreamer	https://raw.githubusercontent.com/GStreamer/gst-docs/master/markdown/application-development/index.md	app-dev-index.md
gstreamer	https://raw.githubusercontent.com/GStreamer/gst-docs/master/markdown/application-development/basics/index.md	basics-index.md
gstreamer	https://raw.githubusercontent.com/GStreamer/gst-docs/master/markdown/application-development/basics/elements.md	elements.md
gstreamer	https://raw.githubusercontent.com/GStreamer/gst-docs/master/markdown/application-development/basics/pads.md	pads.md
gstreamer	https://raw.githubusercontent.com/GStreamer/gst-docs/master/markdown/application-development/basics/bins.md	bins.md
gstreamer	https://raw.githubusercontent.com/GStreamer/gst-docs/master/markdown/application-development/basics/helloworld.md	helloworld.md
gstreamer	https://raw.githubusercontent.com/GStreamer/gst-docs/master/markdown/application-development/highlevel/playback-components.md	playback-components.md
gstreamer	https://raw.githubusercontent.com/GStreamer/gst-docs/master/markdown/plugin-development/index.md	plugin-dev-index.md
gstreamer	https://raw.githubusercontent.com/GStreamer/gst-docs/master/markdown/tutorials/basic/hello-world.md	hello-world.md
gstreamer	https://raw.githubusercontent.com/GStreamer/gst-docs/master/markdown/tutorials/index.md	tutorials-index.md
ffmpeg	https://ffmpeg.org/ffmpeg.html	ffmpeg-manual.txt
ffmpeg	https://ffmpeg.org/ffprobe.html	ffprobe-manual.txt
ffmpeg	https://ffmpeg.org/ffmpeg-formats.html	ffmpeg-formats.txt
